x,y,z,roll,pitch,yaw,time
0,0,0,0,0,0,0.0
-1,0,0,0,0,0,0.126662015914917
-1,0,-1,0,0,0,0.22439908981323242
0,0,0,0,0,0,0.30419015884399414
-1,0,-1,0,0,0,0.3650233745574951
-2,0,-1,0,1,0,0.4607720375061035
0,0,0,0,0,0,0.5246093273162842
-2,0,-1,0,1,0,0.5884363651275635
-1,0,0,0,0,0,0.7011244297027588
0,0,0,0,0,0,0.7639560699462891
0,0,0,0,0,0,0.8597018718719482
-1,0,-1,0,0,0,0.9245321750640869
0,0,0,0,0,0,0.9883551597595215
-2,0,-1,0,0,0,1.0521845817565918
0,0,0,0,0,0,1.1329686641693115
0,0,0,0,0,0,1.1958003044128418
-1,0,0,0,0,0,1.292541265487671
0,0,0,0,0,0,1.3882901668548584
0,0,0,0,0,0,1.4521150588989258
-1,0,0,0,0,0,1.5319364070892334
-1,0,0,0,0,0,1.6286778450012207
-1,0,0,0,0,0,1.6925055980682373
0,0,0,0,0,0,1.756335735321045
-1,0,0,0,0,0,1.8520832061767578
1,0,1,0,0,0,1.9328639507293701
0,0,0,0,0,0,1.9966933727264404
-1,0,0,0,0,0,2.092437982559204
0,0,0,0,0,0,2.1881821155548096
0,0,0,0,0,0,2.252047300338745
0,0,0,0,0,0,2.3328678607940674
-1,0,-1,0,0,0,2.3977150917053223
0,0,0,0,0,0,2.460524320602417
0,0,0,0,0,0,2.5563673973083496
0,0,0,0,0,0,2.6201980113983154
0,0,0,0,1,0,2.6999852657318115
0,0,0,0,0,0,2.7638132572174072
0,0,0,0,0,0,2.828639030456543
0,0,0,0,0,0,2.892467975616455
0,0,0,0,0,0,2.956296920776367
0,0,0,0,0,0,3.0520436763763428
0,0,0,0,0,0,3.1328256130218506
0,0,0,0,0,0,3.2278902530670166
0,0,0,0,0,0,3.2928380966186523
0,0,0,0,0,0,3.3566699028015137
0,0,0,0,0,0,3.420498847961426
0,0,0,0,0,0,3.532815933227539
0,0,1,0,0,0,3.5966548919677734
0,0,0,0,1,0,3.6604738235473633
0,0,0,0,0,0,3.723731279373169
1,0,1,0,0,0,3.7885594367980957
0,0,0,0,1,0,3.852391481399536
0,0,0,0,0,0,3.9321813583374023
-1,0,0,0,0,0,3.9960036277770996
0,0,0,0,1,0,4.092793226242065
0,0,0,0,0,0,4.156620025634766
0,0,0,0,0,0,4.220548152923584
0,0,0,0,0,0,4.300659418106079
0,0,0,0,0,0,4.364485740661621
0,0,0,0,0,0,4.460089445114136
0,0,1,0,0,0,4.556823253631592
0,0,0,0,0,0,4.619648456573486
1,0,1,0,0,0,4.700433731079102
-2,0,-1,0,1,0,4.765259265899658
0,0,0,0,1,0,4.8280909061431885
0,2,1,0,0,0,4.9248528480529785
-4,2,-2,0,0,0,4.988668203353882
-7,2,5,1,2,0,5.100362539291382
-7,1,12,1,0,0,5.164556980133057
-11,0,16,1,1,0,5.228394985198975
-12,0,23,1,1,0,5.2922163009643555
-16,-1,29,1,3,1,5.357050657272339
-35,17,109,0,27,2,7.453021287918091
-37,18,114,2,28,3,7.564720630645752
-34,24,126,2,30,3,7.661496162414551
-33,27,135,3,30,4,7.724329710006714
-33,28,145,4,30,5,7.788193464279175
-33,28,154,4,32,5,7.899977684020996
-29,25,157,4,33,7,7.995923042297363
-28,24,158,6,35,7,8.093662023544312
-27,24,158,5,36,7,8.156493186950684
-24,25,157,5,36,6,8.252238035202026
-24,26,155,5,36,5,8.332023859024048
-24,27,154,5,36,5,8.395853757858276
-25,28,153,5,35,5,8.49359130859375
-25,27,154,5,36,5,8.55642580986023
-24,26,154,4,36,6,8.62025260925293
-23,25,153,5,36,5,8.731957912445068
-24,25,153,4,36,5,8.828083515167236
-24,25,153,4,37,6,8.892441749572754
-24,25,153,4,36,5,8.956268548965454
-23,25,154,5,37,6,9.052014350891113
-24,25,154,5,36,6,9.163872480392456
-24,26,153,5,37,6,9.228700399398804
-22,25,154,5,37,6,9.293527603149414
-23,25,154,4,37,5,9.357358932495117
-23,25,154,4,37,5,9.421186923980713
-24,25,154,4,37,6,9.532259464263916
-25,25,153,5,37,5,9.627849578857422
-25,25,154,4,37,5,9.7255859375
-24,25,155,4,37,5,9.78741979598999
-24,25,154,4,36,5,9.852258920669556
-25,25,154,4,36,5,9.963832139968872
-23,25,156,4,37,5,10.028657674789429
-24,25,155,4,37,5,10.12566614151001
-25,25,154,4,36,5,10.187495946884155
-25,25,154,4,36,5,10.252323150634766
-25,26,154,4,36,5,10.364028692245483
-24,25,155,4,37,5,10.427857637405396
-25,25,154,4,37,5,10.49207615852356
-24,25,154,4,37,5,10.588196039199829
-24,25,155,4,37,5,10.700320720672607
-25,25,154,4,37,5,10.796475410461426
-24,25,155,4,37,5,10.89221978187561
-24,25,154,4,37,6,10.987963438034058
-25,25,154,5,37,6,11.100664615631104
-24,24,154,5,37,6,11.164490222930908
-25,24,154,6,37,7,11.260728120803833
-23,24,155,6,38,7,11.357470273971558
-22,23,156,5,39,8,11.421308279037476
-21,23,158,5,41,8,11.532409906387329
-21,22,161,5,40,8,11.628152132034302
-22,22,162,5,42,9,11.691981554031372
-23,22,164,5,42,8,11.755818843841553
-20,21,167,5,44,9,11.85260796546936
-22,21,165,5,43,9,11.933396816253662
-21,21,166,5,44,10,11.996222972869873
-22,22,166,6,44,9,12.091967821121216
-20,22,167,5,44,9,12.15679407119751
-20,21,166,6,45,9,12.22062373161316
-18,21,165,5,45,10,12.332705020904541
-19,21,162,7,42,10,12.42844843864441
-18,21,160,7,40,11,12.492278575897217
-17,20,160,8,40,12,12.589035272598267
-17,20,159,7,40,12,12.651852369308472
-17,20,159,8,40,12,12.76476526260376
-18,20,158,8,40,13,12.860507488250732
-18,20,158,8,39,13,12.925333023071289
-18,20,158,8,39,13,12.988165140151978
-18,20,159,8,39,13,13.100279331207275
-18,20,158,9,39,13,13.196028470993042
-19,19,157,10,39,14,13.291970014572144
-19,19,158,10,39,14,13.388713598251343
-18,19,158,10,38,14,13.452542066574097
-14,17,157,11,39,16,13.56465458869934
-9,13,157,12,39,19,13.660398960113525
-5,11,157,13,39,21,13.724228143692017
0,8,158,14,40,24,13.820265769958496
1,6,158,14,39,25,13.932229995727539
0,5,157,14,39,25,14.027992725372314
0,6,158,14,39,25,14.124764680862427
0,6,158,14,39,25,14.189960956573486
0,6,158,14,39,25,14.252788543701172
0,6,158,14,39,25,14.332582473754883
0,6,158,14,39,25,14.428364753723145
0,6,157,15,39,25,14.493192195892334
-1,6,157,14,39,25,14.55602216720581
-1,6,157,14,39,25,14.652763605117798
-1,6,158,14,39,25,14.73256540298462
-1,6,158,15,39,25,14.795706748962402
-1,6,158,14,39,25,14.891606092453003
-1,6,158,14,39,25,14.957433223724365
0,6,158,14,39,25,15.052177906036377
-1,6,158,14,38,25,15.164328336715698
-1,6,158,15,39,25,15.22815489768982
-1,6,157,15,39,25,15.324682235717773
0,6,158,14,39,25,15.421431303024292
-1,6,158,14,39,25,15.532490491867065
-1,6,159,14,39,24,15.596328973770142
-2,6,157,14,39,24,15.660156726837158
-1,6,158,13,39,23,15.756270408630371
-6,7,156,14,39,21,15.852379322052002
-6,8,156,12,39,20,15.964080333709717
-7,9,156,12,40,19,16.027908325195312
-9,10,156,11,39,17,16.12407636642456
-10,11,157,10,39,16,16.220821619033813
-12,11,157,10,39,15,16.299607753753662
-12,11,157,10,38,14,16.364490747451782
-13,12,158,9,38,14,16.46074151992798
-13,12,158,9,38,14,16.524574041366577
-13,12,158,9,38,14,16.5884006023407
-12,11,158,9,38,15,16.701149225234985
-12,11,158,10,38,15,16.76433515548706
-12,11,158,9,38,14,16.828529596328735
-12,12,158,9,38,14,16.924718856811523
-12,12,158,9,38,14,17.020442247390747
-12,12,158,9,38,14,17.10023021697998
-12,11,158,9,38,14,17.196973085403442
-12,11,159,9,38,14,17.259801387786865
-12,11,159,9,38,14,17.356080532073975
-12,11,159,9,38,15,17.452823638916016
-12,12,159,9,38,15,17.534603357315063
