x,y,z,roll,pitch,yaw,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0,0,0,0,0.339860200881958
0,0,0,0,0,0,0.3631460666656494
0,0,0,0,0,-1,0.38655543327331543
0,0,0,0,0,-1,0.40964221954345703
0,0,0,0,0,0,0.4312605857849121
0,0,0,0,0,-1,0.45215392112731934
0,0,0,0,0,-1,0.4804036617279053
0,0,0,0,0,0,0.51528000831604
0,0,0,0,0,-1,0.5423541069030762
0,0,0,0,0,0,0.5778529644012451
0,0,0,0,0,0,0.6241550445556641
0,0,0,0,0,-1,0.655158281326294
0,0,0,0,0,-1,0.6884825229644775
0,0,0,0,0,0,0.7213406562805176
0,0,0,0,0,0,0.7514333724975586
0,0,0,0,0,0,0.783846378326416
0,0,0,0,0,0,0.8158326148986816
0,0,0,0,0,0,0.8485939502716064
0,0,0,0,0,-1,0.8802497386932373
0,0,0,0,0,0,0.9111647605895996
0,0,0,0,0,0,0.9471526145935059
0,0,0,0,0,0,0.9759628772735596
0,0,0,0,0,0,1.0233888626098633
0,0,0,0,0,0,1.0552544593811035
0,0,0,0,0,0,1.0853309631347656
0,0,0,0,0,0,1.1198842525482178
0,0,0,0,0,-1,1.151883840560913
0,0,0,0,0,-2,1.1829681396484375
0,0,0,0,0,-1,1.2161920070648193
0,0,0,0,0,0,1.2479603290557861
0,0,0,0,0,-1,1.2781660556793213
0,0,0,0,0,0,1.311471700668335
0,0,0,0,0,0,1.344043254852295
0,0,0,0,0,0,1.3779828548431396
0,0,0,0,0,1,1.4228267669677734
0,0,0,0,0,0,1.4697840213775635
0,0,0,0,0,0,1.492314100265503
0,0,0,0,0,0,1.5200188159942627
0,0,0,0,0,-1,1.5517909526824951
0,0,0,0,0,-2,1.5842630863189697
0,0,0,0,0,0,1.617368459701538
0,0,0,0,0,0,1.64793062210083
0,0,0,0,0,0,1.6780438423156738
0,0,0,0,0,-1,1.710378885269165
0,0,0,0,0,0,1.7428534030914307
0,0,0,0,0,0,1.7749247550964355
0,0,0,0,0,0,1.8219904899597168
0,0,0,0,0,0,1.8622453212738037
0,0,0,0,0,-1,1.888218641281128
0,0,0,0,0,0,1.9192099571228027
0,0,0,0,0,0,1.964555025100708
0,0,0,0,0,0,1.985924243927002
0,0,0,0,0,0,2.018808603286743
0,0,0,0,0,-2,2.0482547283172607
0,0,0,0,0,0,2.0778565406799316
0,0,0,0,0,0,2.1089675426483154
0,0,0,0,0,0,2.142835855484009
0,0,0,0,0,-1,2.175187110900879
0,0,0,0,0,-2,2.2209088802337646
0,0,0,0,0,0,2.252821445465088
0,0,0,0,0,-1,2.289395809173584
0,0,0,0,0,0,2.317883014678955
0,0,0,0,0,0,2.350827932357788
0,0,0,0,0,1,2.383697271347046
0,0,0,0,0,0,2.414459228515625
0,0,0,0,0,0,2.4468228816986084
0,0,0,0,0,1,2.4781813621520996
0,0,0,0,0,0,2.5088493824005127
0,0,0,0,0,0,2.5437960624694824
0,0,0,0,0,0,2.5760598182678223
0,0,0,0,0,0,2.6209912300109863
0,0,0,0,0,0,2.651369333267212
0,0,0,0,0,0,2.687924861907959
0,0,0,0,0,0,2.7186965942382812
0,0,0,0,0,0,2.7525365352630615
0,0,0,0,0,-1,2.7822632789611816
0,0,0,0,0,0,2.814796209335327
0,0,0,0,0,0,2.8479089736938477
0,0,0,0,0,-1,2.882913827896118
0,0,0,0,0,0,2.911179304122925
0,0,0,0,0,0,2.945082902908325
0,0,0,0,0,-1,3.0109879970550537
0,0,0,0,0,-1,3.032957077026367
0,0,0,0,0,0,3.055453300476074
0,0,0,0,0,0,3.1011061668395996
0,0,0,0,0,0,3.123817205429077
0,0,0,0,0,0,3.1521239280700684
0,0,0,0,0,0,3.1828601360321045
0,0,0,0,0,0,3.2164080142974854
0,0,0,0,0,0,3.2479159832000732
0,0,0,0,0,0,3.277937173843384
0,0,0,0,0,-1,3.3097689151763916
0,0,0,0,0,-1,3.345775842666626
0,0,0,0,0,0,3.3786962032318115
0,0,0,0,0,0,3.424743890762329
0,0,0,0,0,-1,3.454768419265747
0,0,0,0,0,-1,3.486203908920288
0,0,0,0,0,-1,3.5200490951538086
0,0,0,0,0,0,3.5511415004730225
0,0,0,0,0,-1,3.5841264724731445
0,0,0,0,0,-1,3.6157147884368896
0,0,0,0,0,0,3.6468703746795654
0,0,0,0,0,0,3.6871252059936523
0,0,0,0,0,-1,3.712648630142212
0,0,0,0,0,0,3.742744207382202
0,0,0,0,0,0,3.7747862339019775
0,0,0,0,0,0,3.823695421218872
0,0,0,0,0,-1,3.853271245956421
0,0,0,0,0,0,3.8868134021759033
0,0,0,0,0,0,3.917736291885376
0,0,0,0,0,-1,3.948881149291992
0,0,0,0,0,0,3.9836742877960205
0,0,0,0,0,0,4.012949705123901
0,0,0,0,0,-2,4.0459113121032715
0,0,0,0,0,0,4.081308603286743
0,0,0,0,0,0,4.110951900482178
0,0,0,0,0,0,4.141920328140259
0,0,0,0,0,-1,4.171890497207642
0,0,0,0,0,0,4.221574783325195
0,0,0,0,0,-1,4.2516419887542725
0,0,0,0,0,0,4.283687353134155
0,0,0,0,0,0,4.3161773681640625
0,0,0,0,0,0,4.349027872085571
0,0,0,0,0,0,4.383795261383057
0,0,0,0,0,-1,4.4148268699646
0,0,0,0,0,-1,4.446913480758667
0,0,0,0,0,0,4.484581708908081
0,0,0,0,0,0,4.517475366592407
0,0,0,0,0,-2,4.5457799434661865
0,0,0,0,0,0,4.580787658691406
0,0,0,0,0,0,4.620964050292969
0,0,0,0,0,-1,4.6516478061676025
0,0,0,0,0,-1,4.687380313873291
0,0,0,0,0,-1,4.716037034988403
0,0,0,0,0,-1,4.748769760131836
0,0,0,0,0,0,4.785937786102295
0,0,0,0,0,0,4.818878889083862
0,0,0,0,0,-1,4.846949577331543
0,0,0,0,0,0,4.877202749252319
0,0,0,0,0,0,4.911220550537109
0,0,0,0,0,0,4.941612482070923
0,0,0,0,0,-1,4.974306344985962
0,0,0,0,0,0,5.023782014846802
0,0,0,0,0,0,5.052338123321533
0,0,0,0,0,0,5.08681845664978
0,0,0,0,0,1,5.118700981140137
0,0,0,0,0,0,5.150206804275513
0,0,0,0,0,0,5.181829929351807
0,0,0,0,0,0,5.213873863220215
0,0,0,0,0,-1,5.24822998046875
0,0,0,0,0,0,5.284986734390259
0,0,0,0,0,0,5.309842824935913
0,0,0,0,0,0,5.341559410095215
0,0,0,0,0,-1,5.375626087188721
0,0,0,0,0,0,5.419748783111572
0,0,0,0,0,-1,5.454520225524902
0,0,0,0,0,0,5.485777378082275
0,0,0,0,0,0,5.520203113555908
0,0,0,0,0,0,5.549542427062988
0,0,0,0,0,0,5.583971261978149
0,0,0,0,0,0,5.613900899887085
0,0,0,0,0,-2,5.6494140625
0,0,0,0,0,-1,5.679901599884033
0,0,0,0,0,0,5.709841251373291
0,0,0,0,0,0,5.742817401885986
0,0,0,0,0,0,5.773963689804077
0,0,0,0,0,-1,5.8225319385528564
0,0,0,0,0,-1,5.856241226196289
0,0,0,0,0,0,5.8877949714660645
0,0,0,0,0,0,5.921344995498657
0,0,0,0,0,-1,5.95392632484436
0,0,0,0,0,0,5.989079236984253
0,0,0,0,0,-1,6.0156776905059814
0,0,0,0,0,0,6.0572426319122314
0,0,0,0,0,0,6.079279899597168
0,0,0,0,0,-1,6.109879732131958
0,0,0,0,0,0,6.142853021621704
0,0,0,0,0,0,6.1759631633758545
0,0,0,0,0,-1,6.2209954261779785
0,0,0,0,0,1,6.255666017532349
0,0,0,0,0,0,6.285254716873169
0,0,0,0,0,0,6.317960977554321
0,0,0,0,0,0,6.349851608276367
0,0,0,0,0,1,6.383553743362427
0,0,0,0,0,0,6.41510534286499
0,0,0,0,0,0,6.44519829750061
0,0,0,0,0,0,6.478964328765869
0,0,0,0,0,0,6.511966705322266
0,0,0,0,0,-1,6.541951656341553
0,0,0,0,0,0,6.577304840087891
0,0,0,0,0,0,6.623560905456543
0,0,0,0,0,0,6.65348744392395
0,0,0,0,0,-1,6.68562388420105
0,0,0,0,0,0,6.714845895767212
0,0,0,0,0,0,6.748971700668335
0,0,0,0,0,0,6.7816855907440186
0,0,0,0,0,0,6.815748929977417
0,0,0,0,0,0,6.84751296043396
0,0,0,0,0,-1,6.8787171840667725
0,0,0,0,0,0,6.9096527099609375
0,0,0,0,0,0,6.941730260848999
0,0,0,0,0,0,6.97492790222168
0,0,0,0,0,0,7.030393838882446
0,0,0,0,0,0,7.074174165725708
0,0,0,0,0,0,7.097387075424194
0,0,0,0,0,0,7.119694948196411
0,0,0,0,0,-1,7.149691820144653
0,0,0,0,0,0,7.181312322616577
0,0,0,0,0,0,7.214555263519287
0,0,0,0,0,0,7.247883558273315
0,0,0,0,0,-1,7.278896808624268
0,0,0,0,0,-1,7.311666965484619
0,0,0,0,0,0,7.342703580856323
0,0,0,0,0,0,7.375098943710327
0,0,0,0,0,0,7.442937612533569
0,0,0,0,0,0,7.4717631340026855
0,0,0,0,0,0,7.494839668273926
0,0,0,0,0,-1,7.526738405227661
0,0,0,0,0,0,7.557869911193848
0,0,0,0,0,-2,7.591956377029419
0,0,0,0,0,-1,7.621624708175659
0,0,0,0,0,-1,7.657122850418091
0,0,0,0,0,0,7.68761944770813
0,0,0,0,0,0,7.7167768478393555
0,0,0,0,0,1,7.751662969589233
0,0,0,0,0,0,7.789605379104614
0,0,0,0,0,0,7.822510004043579
0,0,0,0,0,0,7.854971408843994
0,0,0,0,0,1,7.887872695922852
0,0,0,0,0,-1,7.919579267501831
0,0,0,0,0,0,7.952871322631836
0,0,0,0,0,0,7.985584020614624
0,0,0,0,0,-1,8.015539169311523
0,0,0,0,0,0,8.048928499221802
0,0,0,0,0,0,8.081859350204468
0,0,0,0,0,0,8.112679719924927
0,0,0,0,0,0,8.14828896522522
0,0,0,0,0,0,8.173922061920166
0,0,0,0,0,-1,8.243510961532593
0,0,0,0,0,0,8.267536878585815
0,0,0,0,0,-1,8.291581153869629
0,0,0,0,0,-2,8.317626714706421
0,0,0,0,0,-1,8.350348711013794
0,0,0,0,0,0,8.383884906768799
0,0,0,0,0,-1,8.415831565856934
0,0,0,0,0,-1,8.449826002120972
0,0,0,0,0,-1,8.4802885055542
0,0,0,0,0,-1,8.511709451675415
0,0,0,0,0,0,8.546785831451416
0,0,0,0,0,-1,8.579503297805786
0,0,0,0,0,-1,8.62673282623291
0,0,0,0,0,0,8.653609991073608
0,0,0,0,0,-1,8.686075210571289
0,0,0,0,0,0,8.717118740081787
0,0,0,0,0,0,8.749191284179688
0,0,0,0,0,0,8.785983085632324
0,0,0,0,0,0,8.814128398895264
0,0,0,0,0,0,8.845853090286255
0,0,0,0,0,0,8.878522872924805
0,0,0,0,0,1,8.911365270614624
0,0,0,0,0,-1,8.943554878234863
0,0,0,0,0,-1,8.97430419921875
0,0,0,0,0,-1,9.021085262298584
0,0,0,0,0,-1,9.053105592727661
0,0,0,0,0,-2,9.084920406341553
0,0,0,0,0,0,9.118069887161255
0,0,0,0,0,0,9.152846097946167
0,0,0,0,0,0,9.180328369140625
0,0,0,0,0,0,9.212699174880981
0,0,0,0,0,-1,9.245936393737793
0,0,0,0,0,0,9.27844524383545
0,0,0,0,0,0,9.310536861419678
0,0,0,0,0,0,9.343059539794922
0,0,0,0,0,-1,9.374814748764038
0,0,0,0,0,0,9.442859649658203
0,0,0,0,0,-1,9.46579909324646
0,0,0,0,0,-2,9.491499185562134
0,0,0,0,0,0,9.523748874664307
0,0,0,0,0,0,9.557657241821289
0,0,0,0,0,0,9.591512680053711
0,0,0,0,0,0,9.620486736297607
0,0,0,0,0,0,9.653541564941406
0,0,0,0,0,0,9.686638355255127
0,0,0,0,0,0,9.717575550079346
0,0,0,0,0,-1,9.750669240951538
0,0,0,0,0,0,9.787678241729736
0,0,0,0,0,0,9.829012393951416
0,0,0,0,0,0,9.862547159194946
0,0,0,0,0,0,9.895475625991821
0,0,0,0,0,-1,9.922607183456421
0,0,0,0,0,0,9.95665168762207
0,0,0,0,0,0,9.990890502929688
0,0,0,0,0,0,10.022226095199585
0,0,0,0,0,0,10.053789854049683
0,0,0,0,0,-2,10.085763216018677
0,0,0,0,0,-1,10.118874549865723
0,0,0,0,0,-1,10.143495321273804
0,0,0,0,0,-1,10.186463594436646
0,0,0,0,0,-1,10.22674012184143
0,0,0,0,0,-2,10.252670049667358
0,0,0,0,0,-1,10.2855806350708
0,0,0,0,0,0,10.319051027297974
0,0,0,0,0,0,10.347803592681885
0,0,0,0,0,0,10.381399393081665
0,0,0,0,0,-2,10.413490533828735
0,0,0,0,0,0,10.44546365737915
0,0,0,0,0,1,10.477658987045288
0,0,0,0,0,-2,10.509413480758667
0,0,0,0,0,-2,10.541747570037842
0,0,0,0,0,0,10.576938390731812
0,0,0,0,0,-2,10.620918035507202
0,0,0,0,0,0,10.653653621673584
0,0,0,0,0,0,10.685253381729126
0,0,0,0,0,0,10.717354774475098
0,0,0,0,0,0,10.748363494873047
0,0,0,0,0,0,10.781091928482056
0,0,0,0,0,0,10.812674522399902
0,0,0,0,0,-1,10.844719171524048
0,0,0,0,0,0,10.878571510314941
0,0,0,0,0,0,10.910948514938354
0,0,0,0,0,0,10.943524599075317
0,0,0,0,0,-1,10.974522829055786
0,0,0,0,0,-2,11.02953314781189
0,0,0,0,0,-1,11.064323902130127
0,0,0,0,0,-1,11.099610328674316
0,0,0,0,0,0,11.12953233718872
0,0,0,0,0,-1,11.162508249282837
0,0,0,0,0,0,11.197519540786743
0,0,0,0,0,-1,11.226407051086426
0,0,0,0,0,0,11.248456478118896
0,0,0,0,0,0,11.279398918151855
0,0,0,0,0,-1,11.309636116027832
0,0,0,0,0,0,11.341955184936523
0,0,0,0,0,-1,11.373603582382202
0,0,0,0,0,-1,11.420620918273926
0,0,0,0,0,0,11.454427719116211
0,0,0,0,0,0,11.486315488815308
0,0,0,0,0,0,11.517362594604492
0,0,0,0,0,-1,11.549591302871704
0,0,0,0,0,0,11.583553791046143
0,0,0,0,0,-1,11.614327192306519
0,0,0,0,0,-1,11.645241975784302
0,0,0,0,0,0,11.678279638290405
0,0,0,0,0,0,11.71170687675476
0,0,0,0,0,-1,11.743001937866211
0,0,0,0,0,-1,11.77443242073059
0,0,0,0,0,0,11.821658611297607
0,0,0,0,0,0,11.853652477264404
0,0,0,0,0,0,11.885441303253174
0,0,0,0,0,-1,11.91863226890564
0,0,0,0,0,0,11.947652578353882
0,0,0,0,0,-1,11.982534170150757
0,0,0,0,0,0,12.012849569320679
0,0,0,0,0,0,12.04369306564331
0,0,0,0,0,-1,12.0765540599823
0,0,0,0,0,0,12.119110822677612
0,0,0,0,0,0,12.140771389007568
0,0,0,0,0,0,12.17469596862793
0,0,0,0,0,0,12.22262954711914
0,0,0,0,0,0,12.255621194839478
0,0,0,0,0,0,12.28341555595398
0,0,0,0,0,0,12.316153526306152
0,0,0,0,0,0,12.349435567855835
0,0,0,0,0,0,12.380748271942139
0,0,0,0,0,0,12.41493844985962
0,0,0,0,0,-1,12.445701599121094
0,0,0,0,0,-1,12.477337121963501
0,0,0,0,0,-2,12.509609460830688
0,0,0,0,0,0,12.54324197769165
0,0,0,0,0,0,12.576503992080688
0,0,0,0,0,0,12.62221646308899
0,0,0,0,0,0,12.654317855834961
0,0,0,0,0,0,12.683428049087524
0,0,0,0,0,-1,12.718975067138672
0,0,0,0,0,-1,12.749634981155396
0,0,0,0,0,0,12.781448602676392
0,0,0,0,0,0,12.813463926315308
0,0,0,0,0,0,12.845616102218628
